,Label
26315,0
25518,0
36455,0
54263,1
51940,1
15914,0
38645,1
17648,0
47649,0
884,1
52869,0
47991,0
21181,1
16660,0
15265,1
20971,1
52228,0
26650,0
30075,1
54751,1
54265,0
23331,1
10100,1
218,0
36859,1
47003,1
6866,1
35339,1
52863,0
18558,0
46801,0
14907,0
200,1
33363,0
20645,1
49520,0
22122,0
36175,0
1231,1
17703,0
33147,1
41452,1
54547,1
36226,1
28609,0
20888,1
52223,0
27763,0
50506,1
1349,1
8931,0
26435,0
3915,1
41087,1
44085,0
2002,1
26179,0
10237,0
38916,0
49159,1
26759,1
32514,0
55173,1
23416,0
38236,1
6033,0
43841,1
29086,0
36270,1
28758,1
30109,1
34999,1
13017,0
45925,1
38918,1
4473,1
1015,0
11787,1
5062,0
48082,1
47826,1
40216,0
38209,0
7643,1
37908,1
25403,1
11745,0
43568,0
249,1
8046,1
46028,1
54103,0
52661,0
50916,1
55148,1
56357,0
36663,0
44953,1
12233,1
51158,0
46274,1
56844,1
51744,1
56377,0
17920,1
40240,0
16212,1
29051,0
45677,0
23371,0
28346,1
53794,0
10057,1
770,1
578,1
6094,0
26835,1
53930,0
45211,1
27550,1
53127,0
18751,1
28760,1
44229,0
26450,1
49818,1
18484,0
50509,0
51199,1
45368,1
53589,1
46084,0
17368,1
42369,0
42948,0
2498,0
17922,0
19884,1
56902,0
33127,0
43551,0
51924,1
32931,1
33958,0
52433,0
12789,0
20445,1
114,0
27615,1
26326,1
53010,0
23531,0
13266,1
15489,0
4141,0
27103,0
56349,1
14461,0
18047,0
39766,1
17638,0
47808,1
4425,0
23517,0
1790,1
48674,1
25478,0
5704,0
7817,0
644,1
17222,0
8469,0
54750,1
5590,0
28687,0
40637,0
7244,1
27765,1
22700,1
9342,0
43573,1
12084,1
6421,1
2078,0
54006,0
40671,1
38498,0
53753,1
31066,1
13523,0
56401,0
18061,0
56723,1
3088,0
16456,1
20956,0
25121,0
30189,0
8794,1
11297,0
52946,1
38646,1
6218,1
18813,0
21082,0
51825,1
12045,0
6494,0
44491,0
19258,0
16166,0
36729,1
34024,0
37073,0
50453,1
28150,0
47439,0
28131,0
53600,0
46919,1
15511,0
18823,0
32677,0
37942,1
34677,0
1865,1
25769,1
28716,0
42306,1
32762,1
32377,1
40679,0
31693,0
23520,0
29653,0
54020,1
17623,0
24271,0
7728,0
49374,0
41928,0
28626,1
45135,0
9964,0
47656,1
24534,1
23015,1
49698,1
5295,0
27905,0
53457,0
35004,0
53840,0
20068,1
9537,1
15362,1
56586,1
47788,1
44117,0
28607,0
13335,1
24066,1
11335,1
28643,1
18121,1
51229,0
17054,1
31184,1
52753,0
24774,0
40239,0
48623,0
28627,1
17139,0
3886,1
12635,0
35115,1
47364,1
48143,0
49723,0
24499,0
3339,0
7581,0
29963,0
8105,0
21038,0
34864,0
30359,0
22108,0
7232,1
46304,0
14481,1
51572,1
18019,1
44632,1
9500,0
3830,1
46827,1
2214,1
14284,1
49283,1
7609,1
40775,1
40972,0
45425,0
24709,0
25811,0
20143,1
6632,1
21078,0
13814,0
9725,0
1534,0
49116,0
45249,1
33708,0
19478,0
38716,1
46068,1
22300,0
22578,1
33995,0
54911,1
14212,1
26739,0
52329,0
44562,1
50778,0
25938,0
34980,1
2577,0
20162,0
34540,1
5401,1
53736,1
48089,1
23344,1
56656,0
21860,0
24267,0
11763,1
47743,1
7440,1
12754,1
46237,1
34126,0
40096,0
9353,0
9762,0
23522,1
36131,1
28604,1
37043,0
7491,1
52793,0
6436,1
29643,0
12091,0
6764,1
32303,1
4907,1
9224,0
53893,1
35483,1
39880,1
43821,0
6771,0
47369,0
14989,0
14920,1
49950,0
55202,0
56405,1
55874,0
6603,1
5137,1
7748,1
53180,0
23721,1
46719,0
39852,0
8220,0
22975,0
55232,0
26873,1
15589,0
49009,1
32731,0
25257,0
8523,0
40746,1
43408,1
9684,1
14201,1
46284,0
45839,1
41704,0
15152,1
33063,1
5836,1
41251,1
33039,0
43131,0
3671,1
18232,0
10231,0
11096,1
49170,1
37926,0
28929,0
21577,0
48538,1
6887,0
14968,0
55363,1
5300,1
45219,1
32502,1
38421,0
39372,0
49054,0
32128,0
34058,0
56333,0
43327,1
34911,0
39774,0
21974,1
4056,0
51210,0
14346,1
25761,1
27151,0
29068,1
38305,0
12589,1
34003,0
50909,0
4796,0
48666,1
19636,0
13945,1
30650,0
35619,0
11102,0
46810,0
45422,0
6337,1
20608,1
28819,1
42361,1
44174,0
15832,1
54107,0
56263,1
11823,0
38300,0
17049,0
47563,1
29540,0
26420,1
14017,0
37813,1
56513,1
41973,0
10187,1
43667,0
35348,1
16952,0
35741,0
41071,1
31919,0
45781,1
51202,1
31114,0
49310,0
53814,1
15574,0
29382,1
35317,0
48388,0
23143,0
9347,1
45302,1
32767,1
51952,1
41063,0
27578,0
30622,1
1040,1
15508,1
46741,1
24250,0
15025,1
20679,1
45749,1
51998,1
52754,0
56507,1
639,0
13372,1
14171,0
27600,1
3588,0
52924,0
2130,1
15879,1
54420,0
1933,1
38131,0
47592,1
7950,1
47708,1
2297,1
25444,0
10874,0
2128,1
9100,1
14409,1
56744,0
12036,0
48432,0
56954,1
1352,0
13864,0
53170,0
10892,1
45559,0
46244,0
53140,0
9326,0
10657,1
942,0
46724,0
4654,1
17499,0
502,0
34482,1
2182,1
48185,1
48579,1
42842,1
6155,1
26066,1
23044,1
9447,1
17898,1
12894,0
39294,1
34758,1
31396,1
52239,1
48435,1
8364,1
18401,0
10717,1
6741,1
55156,1
55226,0
23915,1
14804,0
38868,1
2902,0
37228,1
41599,0
54720,0
35259,1
11354,0
16249,0
26254,0
48307,1
24810,0
50655,1
9818,0
27353,0
37261,0
4763,1
32646,1
34107,0
2693,1
25172,0
50354,1
51009,1
37361,1
19380,0
38876,1
16800,0
14722,0
26996,0
16219,1
35927,1
20302,1
32338,0
5955,0
48863,1
16638,0
52318,1
11408,1
4605,0
43292,1
47851,1
38979,0
25163,1
26498,1
40844,1
11943,1
13468,1
25771,0
38019,0
30578,1
5841,1
14413,0
44923,0
10346,0
1163,0
34447,1
10654,1
2885,0
44352,1
32590,0
37940,1
12656,0
48503,0
25604,1
39371,0
35510,0
53708,1
38152,1
45113,0
55350,1
13489,0
49357,1
7811,1
26345,0
38937,1
42235,0
2641,1
41104,0
24069,0
22552,1
19156,0
49516,0
51900,0
30188,0
37987,1
26950,1
9775,1
44417,0
7014,0
53737,1
22478,0
46640,1
48423,1
14640,1
