,Label
29895,1
21850,1
40286,0
33228,1
35813,0
51965,1
4371,1
16289,0
5954,0
39208,1
11774,0
30141,1
19589,1
40061,1
31667,0
45239,0
6687,1
37755,0
26854,0
4704,1
55144,1
29252,0
7120,0
22988,0
52435,0
13539,1
8176,0
19219,1
35287,0
49684,1
43729,1
25608,1
42620,0
13288,1
2523,0
36854,0
4752,0
32737,0
17542,0
49592,1
17019,0
51988,0
49066,0
39929,1
45968,0
36644,0
25110,1
29500,1
6853,0
42952,1
37334,0
26198,1
9077,0
5197,0
19625,0
32228,1
50288,0
18584,0
17533,0
56236,1
30015,0
22152,0
26903,1
22509,0
45443,1
44922,1
25010,1
18588,1
32532,0
42326,1
7448,0
13524,1
3308,0
32149,1
19959,1
48582,0
53300,0
16171,1
41545,0
55414,1
15390,0
16434,1
53357,0
25277,0
1245,0
49106,1
3089,0
38106,1
56415,1
50400,0
7848,1
45094,1
5939,1
42181,0
34076,1
14603,0
50583,0
32600,1
52694,1
51502,1
53565,1
48862,1
27495,0
36375,1
12677,0
15157,0
53668,0
586,1
19535,0
54650,1
46399,1
6428,0
20925,0
15195,1
49188,1
7317,0
56918,1
31073,0
53279,1
11182,1
42201,0
30182,1
13875,0
11267,1
8375,0
31852,1
38486,0
23086,1
22256,1
49533,0
33550,1
45975,1
30730,1
6466,1
15798,1
28941,0
5724,0
44485,0
49209,0
9167,0
37293,1
26513,0
32240,1
544,0
53853,1
35027,0
20725,1
3757,0
11453,1
24273,1
48680,1
22653,1
12523,1
28469,0
54051,1
33506,1
46119,1
14761,1
24555,1
23640,1
50995,1
36930,0
21976,1
45049,1
41496,0
11417,0
34890,1
56311,1
47095,1
29399,0
20118,1
2174,0
9855,0
51130,0
23212,1
13640,0
10576,1
20942,1
53283,1
29240,1
21508,0
37711,1
55677,0
34372,0
18533,1
27465,0
46284,1
4607,0
474,0
21528,0
22393,1
44832,0
24410,0
27354,0
55432,1
47859,0
13757,0
4333,1
13717,1
6231,1
43617,0
35234,0
28585,0
11285,1
41363,0
27502,0
40052,1
7516,0
39340,0
47355,0
44148,0
3172,1
31957,1
48563,0
8810,1
19173,0
523,1
25222,0
31563,0
23076,1
45530,1
48712,0
36779,0
55105,0
29713,1
41079,0
3861,1
20235,1
41008,1
48020,1
6542,1
38766,1
14348,0
2196,1
51603,0
46909,0
29306,1
2469,1
8640,1
52458,0
41916,1
31905,0
14695,1
37587,0
56863,1
49785,0
46398,1
37156,1
8867,0
33489,0
17657,1
28227,0
54928,1
18351,0
13167,0
51001,0
26951,0
26302,0
24023,0
13024,1
46822,1
39815,1
19258,0
25243,0
21095,0
47662,0
3959,1
33331,1
32166,0
12652,0
46789,1
52826,1
48247,1
23130,0
44198,1
47049,0
33899,0
42075,1
55825,1
9384,0
44466,0
47677,1
14941,1
30041,1
8290,0
1248,0
13992,1
14927,1
5949,1
21926,1
22724,0
10106,1
49820,0
56828,1
6669,1
55868,0
35447,1
12130,1
5680,1
144,1
9719,0
53415,1
28273,0
7025,0
12542,1
29755,1
15372,1
5852,1
32856,1
16577,0
52559,0
50641,0
1861,0
19163,0
36665,0
46972,1
44675,0
35116,1
30637,0
43434,0
54916,1
194,1
7984,0
55193,0
27389,1
12870,0
45044,0
25852,0
50744,1
55162,0
53949,0
17931,0
47754,1
10894,1
51406,1
36984,1
52967,1
38311,1
37768,1
23534,1
4465,1
41706,1
34750,0
41705,1
35487,1
42021,0
15300,1
12363,0
22379,1
50281,0
7685,1
19910,1
24913,0
970,1
24538,0
31042,0
30816,1
2785,1
41557,0
45965,1
47341,1
347,0
51335,0
44404,0
16406,1
24185,1
25621,1
56837,1
21149,1
45063,0
6990,1
24157,1
27675,1
42794,0
17697,1
7344,1
23983,0
12886,1
35719,1
36736,0
46588,1
47330,1
29863,0
49798,1
55589,1
11530,0
12526,0
34046,1
56419,1
3167,0
27908,1
38932,1
46031,1
9945,1
8822,0
32666,0
506,1
38912,0
45444,0
13655,0
1319,1
21001,1
23857,0
38457,1
47722,0
54199,1
30797,0
18783,1
47836,0
12054,1
3153,1
52837,0
32553,1
42830,1
10708,1
28170,0
12973,1
45752,0
33836,0
14121,0
4027,0
4536,0
21578,1
55726,0
16161,0
10914,1
28109,1
39111,0
23500,0
43496,1
54960,1
56621,0
30822,1
3017,0
33163,0
21193,0
38021,1
24514,0
29196,1
12126,1
1296,1
21373,0
11040,0
23927,1
26277,0
52938,1
23781,1
54106,1
12110,0
34922,0
12086,1
18026,1
11501,0
11248,0
13794,1
42828,0
47364,1
13925,0
31946,1
3512,0
11875,1
47563,1
33133,0
28830,1
32493,0
1128,0
560,1
1829,1
42580,0
529,1
50033,1
20359,0
13085,1
30681,0
34522,1
20207,1
30022,1
965,1
46492,0
7555,1
7580,1
43881,1
48993,0
21505,1
21013,0
17796,0
38073,1
52868,1
56797,1
51755,1
54837,0
44791,1
12114,1
453,0
3742,0
11625,1
37919,1
45280,0
44941,0
44545,0
11310,0
46018,0
32288,0
29640,1
54474,0
31934,1
35697,0
19742,0
30442,0
44614,1
21035,0
46576,0
31037,0
44695,0
9544,0
19666,1
15867,0
21480,0
8632,0
23008,0
3631,1
50473,1
7043,0
34408,1
10804,0
48909,0
6873,1
8502,0
290,1
42934,1
4514,1
3547,1
2203,0
38032,1
38086,0
55381,1
5008,0
48088,1
49831,1
19303,1
53287,1
21062,0
40822,1
37051,1
3904,1
47326,0
29959,1
31762,0
26996,0
6129,0
37617,0
54379,0
50586,0
55227,1
9501,1
8566,0
15062,0
8740,0
19911,1
37577,1
17695,1
28166,0
662,0
54945,1
23728,0
41218,1
41379,1
48286,0
28342,1
40323,1
34682,0
57186,0
50811,0
8385,1
47587,0
51250,1
49015,1
28603,0
39260,0
13257,0
21392,1
17908,1
38104,1
30006,1
39857,1
6042,0
16707,0
23485,0
39727,1
54060,0
33001,1
31424,0
9035,1
25258,1
51547,1
55102,1
4794,0
16939,0
11862,1
33360,0
41536,0
38306,0
48577,1
47521,0
17236,1
5243,1
8895,0
48179,0
41251,1
56049,1
8879,0
7342,1
25622,0
16073,0
9615,1
24512,0
45684,1
56062,0
39999,1
8086,1
32902,1
13213,1
47969,0
32219,1
12123,1
18522,0
1968,0
34145,0
50360,1
44330,1
38871,1
45652,0
15996,1
36642,1
57170,0
27685,1
50024,1
52997,1
35404,1
53448,1
48363,1
13821,0
30807,1
56173,1
37985,1
18538,0
42574,0
24552,0
140,1
55975,0
53155,0
44452,1
7758,1
34814,0
50097,0
21091,0
52744,0
34429,0
11836,0
39063,0
10262,1
36391,0
31769,1
21600,0
53444,0
42305,1
39789,0
97,1
43951,0
55140,0
25795,1
3154,0
10299,1
5834,1
32428,1
12249,0
21950,0
47942,0
35165,1
10231,0
39368,0
26484,0
49658,1
23726,0
49395,0
28270,1
48848,1
11387,1
3189,0
25826,0
27307,1
50600,0
9623,0
22518,0
20837,0
35954,1
4325,0
33582,0
3884,1
33479,0
39344,1
37541,1
38929,1
18303,1
55898,1
9507,0
37653,1
12053,0
23059,1
20042,0
11045,1
49615,1
24463,0
35186,1
9104,0
46530,0
32745,1
45490,0
33468,1
22971,1
30708,1
24210,1
44034,0
40548,0
53396,0
51571,1
27919,1
32860,1
15444,1
20410,0
49982,0
35221,0
30356,1
49706,1
54813,0
49219,1
55233,0
14008,1
43150,0
2367,1
380,1
32574,0
3705,1
38069,0
40325,0
12044,0
13316,1
19029,0
54066,1
21697,0
27496,1
50860,1
37888,1
23786,0
30575,0
12654,0
41484,0
25524,0
3146,0
47440,1
3208,0
42645,0
22845,0
25873,0
25947,1
38831,0
45056,0
31502,0
26514,0
25307,0
13978,1
32907,0
18811,0
50841,0
13638,0
32090,0
16541,1
53461,0
27924,1
18400,0
31158,1
48532,1
2624,0
32011,1
56401,1
28150,0
47906,0
39253,0
49697,0
30595,1
41599,0
7885,0
53610,1
31166,0
13834,0
27801,1
19947,0
17693,1
10767,1
22207,0
44344,1
53518,0
10720,0
31509,0
57225,0
957,0
39571,0
27537,1
35004,0
44135,0
22890,0
36190,1
39937,1
38294,0
21767,1
32195,0
52299,0
24447,1
1723,1
26108,1
46869,1
48885,1
48990,1
46032,1
11475,0
51102,1
25091,1
18709,1
55620,1
37696,1
42631,0
14371,1
43709,1
41470,1
34290,0
12119,0
17380,1
11994,1
46639,1
30889,0
33384,1
39472,0
38874,1
46250,0
8797,0
13151,0
41174,0
42222,1
30671,1
46316,1
54257,1
51779,1
20282,0
37882,0
13169,1
33807,1
43031,0
27213,1
8359,0
56277,1
48940,0
33413,0
38998,1
46352,1
55624,0
49299,1
40,0
53773,0
18837,1
4596,1
15389,0
10632,1
35193,1
14143,0
52591,1
32082,1
4327,0
27330,0
35257,1
49582,0
39592,0
37066,1
16704,0
37248,1
13164,0
3683,0
34331,1
38857,1
53883,1
1291,1
43169,0
48204,1
37106,1
36964,1
28110,0
42076,0
27319,0
42357,1
20709,0
47114,0
3430,0
49806,1
258,0
20674,0
15563,0
42245,1
666,1
15104,1
28135,1
23793,0
10867,1
33955,1
13165,1
23356,1
4414,0
49895,1
26545,1
14628,0
13446,0
6878,0
35874,0
31466,1
31803,1
46042,1
49409,0
8890,1
38791,0
37048,1
14709,1
32595,0
24269,1
29341,1
17937,0
39017,0
36405,0
7773,0
4957,1
52177,0
17617,0
16479,0
