,Label
6286,0
6720,0
30775,1
45249,0
21932,0
25637,0
37428,0
55839,1
22604,0
49844,1
45549,1
22781,0
28084,1
31502,0
49436,1
31815,1
50991,1
47996,0
12332,1
53781,1
22126,0
22778,1
36912,0
30229,0
18104,1
7565,0
31226,0
20714,1
7989,0
3277,0
12195,0
6391,0
12239,0
15454,0
8540,0
43768,1
51253,0
55904,0
38446,1
35561,0
18588,0
21054,0
50172,0
32160,0
25866,0
30393,0
10487,1
52282,0
10322,1
53444,0
31229,0
39097,1
45555,1
28130,0
31247,0
54779,1
29110,1
6695,1
4835,1
35624,0
6087,0
30557,0
43816,1
41818,1
13398,1
20037,1
17548,1
12049,1
12620,0
12424,1
24032,1
50329,1
30803,1
28807,1
24649,0
50405,0
50164,0
4069,1
4595,1
892,1
41737,1
22894,1
5357,1
33830,0
56963,0
42793,0
6482,0
25504,1
2080,1
9673,0
30310,1
50550,1
6502,1
17419,0
9096,0
9270,1
23533,1
12481,1
38199,0
19314,1
15632,1
17810,1
25444,0
22298,1
43760,0
43902,1
2154,1
54647,1
2019,0
9058,0
3230,1
28083,0
4335,0
1844,0
32610,0
2546,1
11860,0
19414,1
42034,0
50505,0
42944,1
10748,1
8841,0
50585,1
21983,1
40591,1
53370,1
3426,1
30595,0
50097,1
42168,1
53535,0
21662,1
38695,1
13530,1
17075,1
15268,1
3056,1
35264,1
37831,0
19147,1
51817,0
27793,1
16867,0
41078,0
1605,1
32144,1
6676,1
5839,1
47899,0
15691,0
40272,0
36284,1
34040,0
55507,1
56485,0
56316,0
24031,1
50769,0
45069,0
46338,0
23911,1
30584,0
6029,1
5557,0
17125,1
8129,1
44113,0
8978,0
53584,1
46953,1
21770,0
1546,0
31041,1
6956,0
47568,1
20678,0
24382,1
30950,0
2834,1
47013,0
38778,0
23562,0
7048,1
21158,0
45978,1
40735,1
13110,1
21917,1
45030,0
54701,0
4451,0
38840,0
42527,1
52526,0
14256,0
18618,0
24974,0
176,0
674,0
43776,1
44068,0
21992,0
42398,1
54635,0
36461,0
52525,1
51572,1
55972,0
54650,0
12237,0
850,1
50826,1
57206,0
37151,1
52329,1
47406,1
56552,1
35103,1
41256,0
16776,0
57019,1
53532,0
35251,1
52354,0
52176,1
56775,1
46385,0
40112,0
3368,0
18000,0
8171,0
4101,0
46235,1
38504,0
35912,1
11769,1
24255,1
43938,1
52661,0
52917,0
16182,1
45815,0
23306,1
1592,0
34508,1
51197,1
26416,0
24533,0
42968,1
35585,1
33386,1
7414,1
53410,0
46495,0
3060,1
19697,1
7526,0
28254,1
17042,0
12413,1
10542,0
55681,1
50878,0
6828,1
27339,0
27275,1
26598,1
52109,0
4781,1
39372,1
33328,1
46361,1
27266,1
31801,1
25991,0
51723,1
10172,0
28322,1
46211,1
55157,0
40381,0
56744,0
22646,1
32931,0
19272,0
40059,0
46140,0
11099,1
31124,0
25031,1
7307,0
7305,1
15732,1
45980,0
37011,0
37001,0
2208,1
9776,0
24516,1
30226,1
10121,1
40326,1
3437,1
14324,0
29233,1
44358,0
43986,1
5858,1
19695,1
34998,0
10769,1
10390,1
37633,1
12053,0
33901,1
2387,1
36840,0
34228,1
32715,0
30188,0
42124,1
7420,1
11598,0
52586,0
25141,1
39383,1
51170,0
48740,1
52084,1
18141,0
6595,0
16544,0
56119,1
14819,1
50462,1
16256,1
14049,0
37080,0
40803,0
23687,1
28005,1
5326,0
32211,0
48625,0
30560,1
51164,0
42669,0
2404,0
31311,0
34163,0
13418,1
42806,1
45710,0
41821,1
45099,1
47526,0
30005,0
41297,1
19619,0
41797,0
19737,0
17058,0
22331,1
9387,0
205,1
30206,1
14372,0
11595,1
29860,0
25089,1
31459,1
44731,0
38045,0
49384,1
20157,0
46967,1
17707,1
54170,1
25475,0
9556,1
11374,0
13626,1
7884,0
25577,1
48374,1
4945,0
25932,1
23090,0
26000,0
40478,1
45681,1
19950,0
6340,0
24762,1
31583,0
55743,1
14942,0
47200,1
52357,1
50381,1
3917,0
56107,0
19364,1
15832,0
7146,1
24827,0
21562,1
13040,0
38304,0
30014,1
31637,1
53790,1
50274,0
13180,1
30467,1
43117,1
34635,1
37561,0
32691,1
31542,1
50433,1
8375,1
44522,0
37211,0
15283,1
23439,0
45138,1
52224,1
54586,0
4482,1
41934,0
28549,0
38690,1
34231,0
21491,1
16426,1
10407,0
6839,0
26525,0
37792,0
3587,1
25091,0
42849,0
29819,0
3160,0
54058,1
53667,0
812,0
53581,0
27383,0
21794,0
