,Label
15670,1
26385,0
43580,0
33969,1
51647,0
31837,0
55590,1
12209,1
1582,1
15129,0
37790,1
38995,1
50467,1
36915,1
7191,1
38397,0
56410,0
36574,1
41264,1
8355,0
49140,1
2789,0
41454,0
31653,0
43518,0
44012,1
18648,0
38211,1
20903,0
6153,0
14740,1
52386,1
19530,0
12090,0
42304,0
34540,1
31794,1
57161,0
48057,0
29890,0
49882,0
50754,0
40466,0
28328,0
6196,0
55780,1
47734,0
12898,0
39292,0
49579,1
45087,0
39764,1
24675,0
28823,1
9900,1
13216,1
18919,0
32904,1
31482,1
48467,0
10908,0
18534,0
47694,1
6452,1
19439,1
895,1
26899,1
45011,0
6454,1
16126,1
48546,1
7457,0
33946,0
21808,0
21612,0
44257,0
41311,0
30739,0
31418,0
26015,0
3836,0
5873,0
4415,1
29156,0
45002,0
39640,1
25781,1
43363,1
32942,0
40249,0
9253,0
45908,0
24935,1
32312,0
28286,0
35560,0
20525,0
44511,1
45796,0
3004,0
48401,0
54096,1
45957,1
22781,1
48173,1
40055,0
24325,0
20691,0
12206,1
52413,1
2360,1
11262,0
13363,1
51151,1
46253,1
50056,1
40476,1
32901,1
24210,1
49077,1
44231,0
42171,0
26730,1
29861,1
15756,0
38214,0
30977,0
12428,0
19141,1
12514,1
15194,0
26676,1
5115,1
52658,1
33829,1
1064,0
56421,0
28322,0
9263,1
10420,0
13919,1
21268,0
22439,0
38710,1
24367,1
9500,0
49160,0
8361,1
36440,1
536,1
48704,1
54312,1
16641,1
46943,1
13977,0
1039,0
38243,1
48031,0
18951,1
29150,1
51567,1
31740,0
27433,0
50737,1
13612,1
38826,0
1474,0
20425,1
29560,0
30251,1
27553,1
49739,0
2686,0
37387,1
22061,1
15229,1
7436,1
15988,0
31034,1
42685,1
18088,0
48389,1
21356,0
6869,0
41365,0
22186,1
45384,1
18904,1
30105,1
9271,0
53310,1
44083,0
48240,1
41684,0
49969,1
40620,1
36169,0
18572,0
25111,1
49723,0
35556,1
3393,1
31999,1
35033,0
7222,0
26509,1
11080,1
41589,0
44479,1
20158,0
25120,0
13853,0
48343,1
8781,0
8678,1
43344,0
21221,0
44189,1
13252,1
42435,0
19155,0
55763,0
22508,1
31031,1
13978,0
40753,0
47081,1
34455,0
19810,1
56565,0
41500,1
44868,1
48179,1
47126,0
30930,1
20465,0
3123,0
10482,0
36824,1
18484,1
12444,1
39466,0
7077,0
44955,1
32681,0
43531,0
30652,0
11342,0
33378,1
28721,0
56776,0
42735,1
39606,0
27472,0
49855,0
51311,1
37219,0
45807,1
45210,1
9351,1
56891,0
8150,0
11473,1
22157,1
42632,0
36303,0
26563,1
55266,1
6391,1
13220,0
5697,0
9507,0
11477,1
33069,0
20505,1
8490,0
680,0
43398,0
36286,0
45921,0
36680,1
30190,1
21395,0
329,1
32300,0
27202,1
46996,0
38588,0
6727,1
24691,1
54724,1
25199,0
51272,1
47091,0
37695,1
12403,1
12811,1
40337,1
9773,1
4236,1
53250,1
16754,1
24306,0
46118,0
48146,0
32408,0
6241,0
12435,0
11526,0
43692,1
13496,0
19751,0
8801,1
52424,1
49511,0
13285,0
23685,1
34841,1
28544,0
447,0
12395,1
6988,0
30531,1
41113,1
26849,1
49990,0
292,0
34704,0
38530,0
25917,0
35306,1
27691,1
20766,0
18124,1
6048,1
53765,1
17707,0
2096,1
16275,0
53006,0
26439,0
8961,0
48461,1
16026,0
48248,0
18889,0
51747,1
38919,1
50979,0
3759,0
39847,0
48610,1
5675,0
35644,1
21765,0
40549,1
31705,1
18599,0
43900,0
42057,1
28510,1
13243,0
35655,1
20843,0
52550,0
27738,1
50344,0
23569,1
12723,0
53811,0
38346,0
35088,1
47407,1
12921,1
23939,0
28883,0
32863,0
15614,1
12874,0
6351,1
16473,1
23394,1
21844,1
28341,1
11481,1
40521,0
15671,1
4288,0
30153,1
50088,1
49238,1
18493,0
29435,1
2024,1
23264,1
13449,0
10237,0
35301,1
12129,0
52695,1
47968,1
26604,1
30848,1
57130,0
36409,0
16783,0
31807,1
35590,1
39131,0
18584,0
41953,1
9686,0
15470,0
14694,0
52082,1
44032,1
5670,1
42816,1
51876,0
22471,1
28851,1
47167,0
37884,0
30451,0
18471,0
35778,0
9000,0
11617,1
50980,1
9847,1
8856,0
1834,1
2750,0
43343,1
334,0
9004,0
32855,1
54006,1
27306,1
7042,1
2934,1
1709,0
8344,1
13634,0
39043,0
2756,1
47890,1
19037,0
50298,0
33267,1
5268,1
32468,1
11650,0
26910,0
7987,0
27092,0
12689,1
55632,0
15900,0
47936,1
16290,1
46546,0
41139,1
14900,1
46329,0
15000,0
6894,1
37481,1
57206,1
2564,0
42856,1
22350,1
10367,0
2746,0
13956,0
30771,1
22838,0
53003,1
40798,1
15916,1
36051,1
52277,0
18861,1
19467,1
56927,1
52748,1
25566,0
22089,0
37643,0
32557,1
26131,1
47434,1
18347,0
26561,0
25287,1
17362,0
37932,1
22686,0
42008,0
42137,0
28224,0
29140,0
47146,0
23378,0
12926,1
20734,0
18411,1
52892,1
1224,1
5089,1
50709,1
23664,1
32060,0
32615,0
9863,1
12781,1
32209,0
28148,1
30744,1
18037,1
34999,0
33796,1
36156,0
17521,0
11942,1
54830,1
51985,1
7410,0
14830,1
27875,0
50527,0
51197,0
27623,0
5118,0
48688,0
10701,1
14870,1
10186,1
37963,0
17234,1
41932,1
28345,1
49767,0
16081,1
40724,0
21668,1
13153,1
28760,0
13244,1
30960,0
32024,1
2727,0
22486,1
16551,1
14673,1
24333,0
17582,1
49585,1
52725,1
1374,1
9562,0
19276,0
16685,0
34444,1
36756,0
36044,1
11801,0
5135,1
5819,0
42908,1
53457,1
14549,1
54378,1
43564,0
8121,0
15115,0
9023,0
23110,1
52160,0
38546,0
35156,1
36701,1
40136,0
33261,0
48569,0
48483,0
42380,1
13249,0
5472,1
35790,0
481,1
45089,0
9209,0
16378,0
55392,0
528,0
46430,0
2576,0
48419,1
36038,1
53621,1
25742,0
55334,1
37614,1
36894,1
9330,0
6447,0
30653,0
36817,1
31711,1
37153,0
52829,1
29793,0
41559,1
15280,1
27714,0
3145,1
32297,0
15608,0
7141,1
31262,0
30861,0
33616,1
8034,0
32490,0
4355,1
55760,1
16523,0
6028,0
11569,1
24130,1
39412,1
22617,1
26870,1
22512,0
52980,1
37725,1
28875,1
24506,0
55640,1
20258,0
51794,1
46713,0
49165,1
51044,0
1585,1
48337,1
55492,1
33159,0
13150,1
5367,0
49361,1
39704,1
12980,1
47377,0
49798,0
22489,0
26039,1
49437,1
23412,0
26310,1
6177,0
7071,1
54719,1
21308,0
20051,1
21449,0
21064,1
39968,0
3442,1
33288,0
30151,0
13791,0
5626,0
28441,1
55904,0
51906,0
49660,0
33760,0
11024,1
53158,1
19727,0
42635,1
7294,0
6078,0
13256,0
24736,0
51484,0
10503,1
54446,0
33553,0
57194,0
54783,0
34865,1
7734,0
36895,0
55081,0
28918,0
16219,1
36854,1
42609,1
27846,0
15433,1
17106,1
34335,0
2876,1
40036,1
30455,1
46728,0
21991,1
41921,0
27440,1
19336,1
39375,0
21772,1
14216,0
35143,1
49938,0
31398,0
37093,1
15419,0
25452,0
46171,1
8892,1
53732,0
51112,0
9747,1
15894,0
14106,1
51132,1
50015,1
23638,0
35595,1
49097,1
54924,0
32921,1
48672,1
14213,0
18300,0
1006,1
6519,0
42470,0
54958,0
9137,0
7347,0
50936,0
17390,0
41770,1
36482,0
41297,1
44485,0
12406,1
932,1
9220,1
18343,0
49651,0
14075,1
43171,1
32440,1
31723,1
46558,1
38684,1
10849,0
17292,0
48,0
31685,1
45092,0
38481,1
5035,0
12019,0
44232,1
22015,1
43913,0
47696,0
29538,1
7146,0
9474,0
37940,0
10081,0
56353,0
19248,1
55883,1
25597,0
46795,1
38866,1
163,0
41832,1
53113,0
38107,1
21078,1
30142,1
46653,1
28335,0
30780,1
20077,0
44802,1
3492,0
2508,0
45708,0
40503,1
35440,1
4691,0
40102,0
