,Label
47640,0
24266,0
56126,1
189,0
22751,1
33686,1
80,1
10192,1
33897,1
24815,0
50563,0
40314,1
47927,0
54295,1
18722,1
32686,0
26286,1
23783,0
4136,0
21774,1
5302,0
477,1
9782,0
28898,0
10304,0
52097,0
55301,1
51188,1
48800,0
9164,1
4257,0
4386,0
52262,0
14483,0
1367,0
11682,1
16255,0
8628,1
40496,1
31728,1
55272,1
17983,1
11414,0
28829,1
3134,0
57031,0
16917,0
7931,0
8419,1
23122,1
50311,0
33201,1
4749,0
32532,0
15756,1
1546,1
20082,0
19555,0
11234,0
49973,0
38214,1
50760,0
20358,0
42604,1
54284,0
14612,1
56813,1
25411,0
51904,1
896,0
46646,1
44969,0
43782,0
17705,0
1263,0
48922,1
29801,0
32090,0
5697,0
30354,0
32641,0
39859,1
13203,0
18865,1
17446,0
33993,1
10862,0
1341,0
12479,1
31068,0
42721,0
38937,1
32283,1
52468,0
44753,1
49687,1
16993,1
5453,1
4711,0
7051,1
43248,0
18430,0
2547,0
31022,1
4234,0
24067,0
54826,1
46111,1
41603,1
43990,0
8199,1
48521,1
19662,0
32346,1
4147,0
54184,0
52000,1
34425,0
12370,0
55316,1
13910,1
3153,1
646,0
49705,1
27701,1
27463,1
16965,1
7279,0
3542,1
24126,1
6939,0
31611,1
45381,1
106,0
50507,0
2653,0
16222,1
32097,0
13064,1
53354,0
34005,0
17414,0
13113,0
44322,1
17274,0
11420,0
10197,1
43231,1
37334,0
12373,0
5700,1
42547,1
33190,0
8777,0
18297,0
10413,1
26410,0
19657,0
38436,0
603,0
38538,1
42401,0
27310,0
52456,1
47611,0
13809,1
6554,0
17468,1
42159,1
48380,0
21923,1
5470,1
20046,0
26644,0
13556,0
11713,0
42126,0
27344,0
40673,0
32371,0
38018,0
10269,1
14260,0
9066,1
11441,0
440,0
8621,0
40813,0
16032,1
5256,0
16535,0
54901,1
45842,0
2569,0
45219,0
1823,1
49320,0
14375,1
46030,1
33045,0
11400,1
54254,1
20953,1
10483,0
8805,0
9389,1
6843,0
36837,0
3642,0
22164,0
37058,1
26741,0
40630,1
48848,0
15724,1
41972,0
33218,0
19067,0
31755,1
42717,1
10887,1
29247,1
56030,0
12703,1
33348,1
6944,1
35112,1
49184,0
20414,0
928,1
31321,1
12047,0
46535,0
48103,1
841,1
28270,1
25896,1
3980,0
55672,0
21772,0
53171,0
53540,0
54874,1
33725,0
12584,0
14299,1
51450,1
8403,1
21471,1
39611,0
36426,0
22085,1
20233,0
30231,1
47278,1
29396,1
9778,0
46452,1
39683,1
32213,0
24276,0
14841,0
22872,1
55776,1
18414,0
3810,0
3053,1
35001,1
29735,1
25253,1
48318,0
6639,0
55675,1
32161,0
45062,0
48466,0
23243,0
24431,1
53282,1
38249,1
43789,0
32842,0
54158,1
16144,0
11789,0
44672,0
56936,0
33017,1
41768,0
53056,0
55522,0
52603,0
21655,1
29253,0
12807,1
34463,1
9853,1
50042,1
16264,1
24376,0
10512,1
34095,0
34551,1
36567,0
8760,0
21724,0
28727,1
52998,0
3928,0
8843,1
46346,0
4465,1
41917,0
15706,0
36258,1
14557,0
41586,0
47395,0
38915,1
56534,0
24967,0
7977,0
39323,0
47715,1
9267,1
634,1
5286,1
48856,1
35625,1
56913,0
32851,1
21046,0
23501,1
44338,1
43280,1
37764,0
17884,0
12705,1
27852,1
31013,0
26704,1
52140,0
47456,1
55606,1
30732,1
49422,1
24839,0
15098,1
49372,0
32902,1
53167,1
34835,0
851,1
45386,1
53919,1
6686,0
6991,1
7223,0
14420,0
48036,1
19411,1
5332,0
34715,1
37530,0
15586,0
42961,1
29736,0
24728,1
23251,1
24822,0
11779,1
29557,1
45889,0
39424,1
19217,1
23521,0
45020,0
4167,0
7373,1
19830,0
26735,0
19434,1
45095,1
28877,1
33551,1
45087,0
5018,1
46691,1
44484,1
30158,1
29365,0
15822,0
55626,1
30228,0
49516,1
37012,1
43455,0
43145,0
36294,0
15296,1
11445,1
40405,1
17607,1
28532,1
45897,0
33819,1
8788,1
51270,0
32073,1
38455,0
37438,0
54496,1
