,Label
55469,1
22565,0
51060,1
27059,0
33401,1
11455,1
43510,1
41945,0
52410,0
56124,0
5379,0
5065,0
14216,0
4062,1
48257,0
17583,1
31946,0
13044,0
35605,0
20348,0
37161,0
36756,1
3029,0
43568,0
39200,1
39276,0
1405,0
11004,0
12561,0
22865,0
11200,1
41247,0
25880,1
21761,0
35960,0
8984,1
8752,1
10283,1
26873,0
34997,1
17985,0
52246,1
15879,1
19852,0
40278,0
40478,1
12123,0
40437,1
14163,1
4599,1
36083,0
3780,0
11378,1
34185,1
21632,0
19707,0
47968,1
54137,1
28804,1
56154,1
55881,1
30450,1
50530,0
29800,0
21579,1
11617,1
37142,0
9605,1
2602,1
3097,0
21492,1
47136,1
13329,1
16905,1
49420,1
49647,1
39865,0
41927,1
28467,0
53198,1
25749,0
23199,1
9887,1
43457,1
36413,1
50158,0
49415,1
10277,0
3615,0
42662,0
34038,0
7127,0
5001,0
37363,0
29060,1
7842,0
18196,0
44567,0
3325,0
38007,0
17248,0
7766,1
12367,1
29804,1
2813,0
43886,0
49855,0
28887,0
1295,1
24482,1
52047,0
25285,0
50051,0
41971,1
42324,0
1558,0
27292,1
11980,1
15511,0
26888,0
44800,1
16000,1
40624,0
27539,0
16006,1
9650,0
43897,0
17133,1
25084,0
292,1
28388,1
24736,1
53283,0
31216,1
5508,0
8588,1
6624,0
44041,1
54001,0
49358,1
52500,0
44383,0
39492,1
36447,1
24334,1
22547,1
45052,1
37447,1
3222,0
55628,0
13852,0
33104,0
39368,0
9541,0
33985,0
26332,0
10655,0
43282,0
47216,0
37863,0
44395,0
13714,0
12748,1
55340,0
26513,1
4352,0
9737,0
30627,0
41376,1
34205,0
50255,0
37472,0
12450,1
22765,0
11716,0
25694,0
47481,1
53305,1
39822,1
1821,1
6459,0
54410,0
28801,0
2101,0
4043,0
52413,0
19355,0
6386,0
55252,0
36130,0
8183,1
37420,1
46339,0
55269,0
27325,0
18220,1
41496,0
5492,1
12328,1
55080,0
11155,0
36046,0
156,0
9721,0
4293,1
25340,0
2046,0
20429,1
48296,0
32766,1
39382,0
44869,0
12200,1
6054,0
40766,1
29384,0
51156,1
402,1
39416,0
27296,1
17769,1
15776,1
10260,1
22014,0
48049,0
15582,0
9873,0
19606,1
10379,1
11786,1
52226,0
24162,0
53218,1
32364,1
12727,1
48966,0
10805,1
39702,1
25232,0
42057,0
6820,1
23504,1
20851,1
5282,0
28897,0
53135,0
29609,1
45851,0
47871,0
1610,0
40375,0
23558,1
17768,1
25774,0
40564,0
39406,0
23816,0
32746,0
48253,1
35621,1
31353,1
38838,1
54797,1
8799,0
13242,1
46043,1
6537,1
29865,1
46848,1
48849,0
